pathway,cluster1,cluster2,pvalue,effect_size,adj_p
Osteoclast differentiation,0,2,1.4356744025262744e-23,0.04290348673983532,5.200933684623484e-23
Intestinal immune network for IgA production,0,2,2.0102949592689233e-23,0.06691731456893665,7.255199853000625e-23
Adrenergic signaling in cardiomyocytes,0,1,2.7450543222702075e-23,0.021084422007653023,9.869858237376026e-23
Small cell lung cancer,0,2,3.0647533641994594e-23,0.0273419943082317,1.0978221006087615e-22
Glutamatergic synapse,0,1,3.2249745593909673e-23,0.02135089380587977,1.150920288853282e-22
Dopaminergic synapse,0,2,3.8674845797099903e-23,0.02466428153573834,1.37510562834133e-22
Cocaine addiction,0,2,7.627199423913318e-23,0.02829304395432007,2.7018861427884817e-22
Mineral absorption,0,1,1.0328533838462162e-22,0.03546057315989319,3.645364884163116e-22
HIF-1 signaling pathway,0,2,1.197748583207869e-22,0.028740774436567362,4.211863149741957e-22
Measles,1,2,1.7056853114199139e-22,0.03265934872835727,5.9761237188434945e-22
Leishmaniasis,0,1,2.1701677788511915e-22,-0.043485895968161326,7.575858427989615e-22
Neurotrophin signaling pathway,0,1,2.3175140744320387e-22,0.016776377271298354,8.0609185197636135e-22
Cholesterol metabolism,0,1,2.442601764833074e-22,0.03451085093786113,8.46533463624459e-22
Proteoglycans in cancer,1,2,2.4571362263370644e-22,0.02519502680238661,8.48507473843015e-22
Progesterone-mediated oocyte maturation,0,1,3.1403930625266863e-22,-0.02874318251723129,1.080565354847892e-21
Aminoacyl-tRNA biosynthesis,0,1,3.3788758712847917e-22,-0.029917879498376765,1.1584717272976427e-21
Lipid and atherosclerosis,0,2,3.392772102827616e-22,0.023840884171339782,1.1590965191154844e-21
ErbB signaling pathway,0,1,4.2095804386887074e-22,0.02237510785304747,1.4330486599791344e-21
Aldosterone-regulated sodium reabsorption,0,2,4.332823272454942e-22,0.04402876632672152,1.4697916401260579e-21
Hypertrophic cardiomyopathy,0,2,4.817390171749296e-22,0.039768888815900634,1.6284135791828606e-21
Synaptic vesicle cycle,0,2,5.760134131709428e-22,-0.03262864383715054,1.940255707523176e-21
Yersinia infection,0,2,5.917628582877406e-22,0.02084332186181098,1.979415832600108e-21
MicroRNAs in cancer,0,2,5.912604474165291e-22,0.029021916314718676,1.979415832600108e-21
Morphine addiction,0,1,9.183222212625965e-22,0.030920086467564036,3.0610740708753218e-21
