pathway,cluster1,cluster2,pvalue,effect_size,adj_p,Pathway,Importance
Fatty acid biosynthesis,0,2,4.0296186414689666e-28,0.05064729825308,1.963672028330055e-27,Fatty acid biosynthesis,0.0033731686211744
Nitrogen metabolism,0,1,1.0636173619648007e-31,0.0696642628788503,7.293376196330061e-31,Nitrogen metabolism,0.003268138270208
Nitrogen metabolism,0,2,3.463600610069748e-15,0.0471933226007759,8.109894111382824e-15,Nitrogen metabolism,0.003268138270208
Nitrogen metabolism,1,2,2.060587034076992e-05,-0.0224709402780744,2.9349607607031346e-05,Nitrogen metabolism,0.003268138270208
Viral myocarditis,1,2,1.6189151239577708e-39,0.0716195416634984,3.1083170379989207e-38,Viral myocarditis,0.0032472423793919
Viral myocarditis,0,2,7.905522193556099e-20,0.04192867805306,2.3138113737237363e-19,Viral myocarditis,0.0032472423793919
Viral myocarditis,0,1,2.0654241533894746e-12,-0.0296908636104384,4.1568284848090055e-12,Viral myocarditis,0.0032472423793919
Adipocytokine signaling pathway,0,2,5.975557266534082e-42,0.0674205383427778,1.509614467334926e-40,Adipocytokine signaling pathway,0.003218351381366
Adipocytokine signaling pathway,0,1,1.9812287914776769e-29,0.045580264907747,1.0685278875385223e-28,Adipocytokine signaling pathway,0.003218351381366
Adipocytokine signaling pathway,1,2,1.4277974439378503e-14,0.0218402734350307,3.271325885871924e-14,Adipocytokine signaling pathway,0.003218351381366
Measles,1,2,1.705685311419914e-22,0.0326593487283572,5.976123718843495e-22,Measles,0.003180126032148
Measles,0,1,2.4687641559115664e-21,-0.028992926471921,8.033944371780012e-21,Measles,0.003180126032148
Breast cancer,0,2,2.7148154803163647e-44,0.038093351495654,1.042489144441484e-42,Breast cancer,0.0030184052133956
